nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	235	preterm_no_hit_endocleaved	8	3	332	454653	7.3e-4
2	236	preterm_5_hit_endocleaved	4	3	385	491611	7.83e-4
2	236	preterm_no_hit_endocleaved	7	4	703	491611	0.00143
2	237	preterm_5_hit_endocleaved	4	3	1625	651083	0.002496
2	237	preterm_no_hit_endocleaved	8	4	3215	651083	0.004938
2	238	preterm_5_hit_endocleaved	5	3	4441	999386	0.004444
2	238	preterm_no_hit_endocleaved	8	4	7773	999386	0.007778
2	239	preterm_5_hit_endocleaved	4	3	4466	998040	0.004475
2	239	preterm_no_hit_endocleaved	8	4	8264	999960	0.008264
1	24	preterm_no_hit_endocleaved	1	0	45	997979	4.5e-5
2	241	preterm_5_hit_endocleaved	15	9	6093	999690	0.006095
2	241	preterm_no_hit_endocleaved	13	12	6764	999690	0.006766
2	242	preterm_5_hit_endocleaved	14	9	8833	997355	0.008856
2	242	preterm_no_hit_endocleaved	13	12	10102	998398	0.010118
2	243	preterm_5_hit_endocleaved	9	8	7726	999697	0.007728
2	243	preterm_no_hit_endocleaved	8	10	8818	999697	0.008821
2	244	preterm_5_hit_endocleaved	3	3	2631	999762	0.002632
2	244	preterm_no_hit_endocleaved	3	2	3380	999762	0.003381
2	245	preterm_5_hit_endocleaved	13	7	12206	999997	0.012206
2	245	preterm_no_hit_endocleaved	8	4	7661	999997	0.007661
2	246	preterm_5_hit_endocleaved	12	6	12673	996557	0.012717
2	246	preterm_no_hit_endocleaved	7	4	7861	996557	0.007888
2	247	preterm_5_hit_endocleaved	12	6	12470	999852	0.012472
2	247	preterm_no_hit_endocleaved	7	4	7945	999852	0.007946
2	248	preterm_5_hit_endocleaved	11	5	11144	999627	0.011148
2	248	preterm_no_hit_endocleaved	7	3	7729	999627	0.007732
2	249	preterm_5_hit_endocleaved	10	4	8469	995938	0.008504
2	249	preterm_no_hit_endocleaved	7	3	6559	995938	0.006586
2	251	preterm_5_hit_endocleaved	12	8	6537	704562	0.009278
2	251	preterm_no_hit_endocleaved	13	13	8513	704562	0.012083
2	252	preterm_5_hit_endocleaved	11	8	9312	999013	0.009321
2	252	preterm_no_hit_endocleaved	13	13	13132	999013	0.013145
2	253	preterm_5_hit_endocleaved	7	7	6238	999973	0.006238
2	253	preterm_no_hit_endocleaved	9	10	8823	999973	0.008823
2	254	preterm_5_hit_endocleaved	3	2	2490	999872	0.00249
2	254	preterm_no_hit_endocleaved	3	3	3246	999998	0.003246
2	255	preterm_5_hit_endocleaved	13	7	12489	997716	0.012518
2	255	preterm_no_hit_endocleaved	7	4	7669	997716	0.007687
2	256	preterm_5_hit_endocleaved	12	7	11111	999704	0.011114
2	256	preterm_no_hit_endocleaved	7	4	6914	999704	0.006916
2	257	preterm_5_hit_endocleaved	12	6	12046	999933	0.012047
2	257	preterm_no_hit_endocleaved	7	4	7759	999998	0.007759
2	258	preterm_5_hit_endocleaved	11	5	10733	999999	0.010733
2	258	preterm_no_hit_endocleaved	7	3	7437	999999	0.007437
2	259	preterm_5_hit_endocleaved	10	5	9989	997566	0.010013
2	259	preterm_no_hit_endocleaved	7	3	7462	997566	0.00748
2	261	preterm_5_hit_endocleaved	11	6	5432	551922	0.009842
2	261	preterm_no_hit_endocleaved	10	8	5736	551922	0.010393
2	262	preterm_5_hit_endocleaved	10	6	9112	979048	0.009307
2	262	preterm_no_hit_endocleaved	10	8	10193	979048	0.010411
2	263	preterm_5_hit_endocleaved	6	4	5489	998801	0.005496
2	263	preterm_no_hit_endocleaved	7	6	6877	998801	0.006885
2	264	preterm_5_hit_endocleaved	3	2	2712	995388	0.002725
2	264	preterm_no_hit_endocleaved	3	3	3629	999511	0.003631
2	265	preterm_5_hit_endocleaved	12	6	2000	232225	0.008612
2	265	preterm_no_hit_endocleaved	8	4	1345	232225	0.005792
2	266	preterm_5_hit_endocleaved	11	6	3186	325324	0.009793
2	266	preterm_no_hit_endocleaved	8	5	2352	325324	0.00723
2	267	preterm_5_hit_endocleaved	11	5	11427	999101	0.011437
2	267	preterm_no_hit_endocleaved	8	5	8598	999101	0.008606
2	268	preterm_5_hit_endocleaved	9	5	9469	997617	0.009492
2	268	preterm_no_hit_endocleaved	7	4	7923	997617	0.007942
2	269	preterm_5_hit_endocleaved	8	4	8263	999541	0.008267
2	269	preterm_no_hit_endocleaved	7	4	7593	999541	0.007596
1	3	preterm_no_hit_endocleaved	1	0	42	997113	4.2e-5
2	31	preterm_5_hit_endocleaved	1	NA	1	338749	3e-6
2	31	preterm_no_hit_endocleaved	1	0	15	951138	1.6e-5
2	32	preterm_5_hit_endocleaved	1	0	2	397109	5e-6
2	32	preterm_no_hit_endocleaved	1	0	39	976849	4e-5
2	33	preterm_5_hit_endocleaved	1	0	8	810501	1e-5
2	33	preterm_no_hit_endocleaved	1	0	185	988472	1.87e-4
2	34	preterm_5_hit_endocleaved	1	0	6	972874	6e-6
2	34	preterm_no_hit_endocleaved	1	0	257	991778	2.59e-4
1	35	preterm_no_hit_endocleaved	1	0	2	245520	8e-6
2	36	preterm_5_hit_endocleaved	1	0	2	548140	4e-6
2	36	preterm_no_hit_endocleaved	1	0	12	968265	1.2e-5
2	37	preterm_5_hit_endocleaved	1	0	9	833032	1.1e-5
2	37	preterm_no_hit_endocleaved	1	0	56	998300	5.6e-5
2	38	preterm_5_hit_endocleaved	1	0	24	971047	2.5e-5
2	38	preterm_no_hit_endocleaved	1	0	225	999136	2.25e-4
2	39	preterm_5_hit_endocleaved	1	0	26	971327	2.7e-5
2	39	preterm_no_hit_endocleaved	1	0	341	999611	3.41e-4
2	4	preterm_5_hit_endocleaved	1	0	3	995879	3e-6
2	4	preterm_no_hit_endocleaved	1	0	108	996514	1.08e-4
1	41	preterm_no_hit_endocleaved	1	0	11	886587	1.2e-5
1	42	preterm_no_hit_endocleaved	1	0	14	997170	1.4e-5
1	43	preterm_no_hit_endocleaved	1	0	59	992316	5.9e-5
2	44	preterm_5_hit_endocleaved	1	NA	1	885577	1e-6
2	44	preterm_no_hit_endocleaved	1	0	149	993978	1.5e-4
1	47	preterm_no_hit_endocleaved	1	NA	1	877908	1e-6
1	48	preterm_no_hit_endocleaved	1	0	9	639997	1.4e-5
1	49	preterm_no_hit_endocleaved	1	0	23	962427	2.4e-5
1	5	preterm_no_hit_endocleaved	1	NA	1	616848	2e-6
1	51	preterm_no_hit_endocleaved	1	0	10	950508	1.1e-5
1	52	preterm_no_hit_endocleaved	1	0	6	896623	7e-6
2	53	preterm_5_hit_endocleaved	1	NA	1	146289	7e-6
2	53	preterm_no_hit_endocleaved	1	0	48	962457	5e-5
1	54	preterm_no_hit_endocleaved	1	0	156	997243	1.56e-4
1	57	preterm_no_hit_endocleaved	1	NA	1	193385	5e-6
1	58	preterm_no_hit_endocleaved	1	0	2	813911	2e-6
1	59	preterm_no_hit_endocleaved	1	0	2	847237	2e-6
1	6	preterm_no_hit_endocleaved	1	0	3	943361	3e-6
2	61	preterm_5_hit_endocleaved	1	0	14	801509	1.7e-5
2	61	preterm_no_hit_endocleaved	1	1	77	979882	7.9e-5
2	62	preterm_5_hit_endocleaved	2	1	32	992174	3.2e-5
2	62	preterm_no_hit_endocleaved	1	0	160	992174	1.61e-4
2	63	preterm_5_hit_endocleaved	1	0	92	991372	9.3e-5
2	63	preterm_no_hit_endocleaved	1	0	555	995266	5.58e-4
2	64	preterm_5_hit_endocleaved	1	0	53	967917	5.5e-5
2	64	preterm_no_hit_endocleaved	1	0	607	995296	6.1e-4
2	65	preterm_5_hit_endocleaved	1	1	20	890244	2.2e-5
2	65	preterm_no_hit_endocleaved	1	0	40	953220	4.2e-5
2	66	preterm_5_hit_endocleaved	1	0	34	941796	3.6e-5
2	66	preterm_no_hit_endocleaved	1	0	96	991848	9.7e-5
2	67	preterm_5_hit_endocleaved	1	0	144	994919	1.45e-4
2	67	preterm_no_hit_endocleaved	1	0	345	998925	3.45e-4
2	68	preterm_5_hit_endocleaved	1	0	160	985357	1.62e-4
2	68	preterm_no_hit_endocleaved	1	0	861	998680	8.62e-4
2	69	preterm_5_hit_endocleaved	1	0	184	995387	1.85e-4
2	69	preterm_no_hit_endocleaved	1	0	1130	999494	0.001131
1	7	preterm_no_hit_endocleaved	1	0	13	906609	1.4e-5
2	71	preterm_5_hit_endocleaved	3	NA	3	350901	9e-6
2	71	preterm_no_hit_endocleaved	1	0	30	973622	3.1e-5
2	72	preterm_5_hit_endocleaved	2	0	4	867123	5e-6
2	72	preterm_no_hit_endocleaved	1	0	69	987699	7e-5
2	73	preterm_5_hit_endocleaved	1	NA	1	523374	2e-6
2	73	preterm_no_hit_endocleaved	1	0	267	989805	2.7e-4
2	74	preterm_5_hit_endocleaved	1	NA	1	671245	1e-6
2	74	preterm_no_hit_endocleaved	1	0	404	997430	4.05e-4
2	77	preterm_5_hit_endocleaved	1	NA	1	292406	3e-6
2	77	preterm_no_hit_endocleaved	2	0	8	305719	2.6e-5
2	78	preterm_5_hit_endocleaved	1	0	2	848829	2e-6
2	78	preterm_no_hit_endocleaved	1	0	47	980452	4.8e-5
2	79	preterm_5_hit_endocleaved	1	0	2	591831	3e-6
2	79	preterm_no_hit_endocleaved	1	0	83	989105	8.4e-5
2	8	preterm_5_hit_endocleaved	1	0	3	470264	6e-6
2	8	preterm_no_hit_endocleaved	1	0	56	968721	5.8e-5
1	81	preterm_no_hit_endocleaved	1	0	14	839406	1.7e-5
1	82	preterm_no_hit_endocleaved	1	0	54	958968	5.6e-5
2	83	preterm_5_hit_endocleaved	1	0	3	955104	3e-6
2	83	preterm_no_hit_endocleaved	1	0	221	999632	2.21e-4
2	84	preterm_5_hit_endocleaved	1	0	4	680319	6e-6
2	84	preterm_no_hit_endocleaved	1	0	383	998690	3.84e-4
1	88	preterm_no_hit_endocleaved	2	1	8	998555	8e-6
2	89	preterm_5_hit_endocleaved	1	NA	1	299895	3e-6
2	89	preterm_no_hit_endocleaved	1	1	14	972402	1.4e-5
2	9	preterm_5_hit_endocleaved	1	0	3	646128	5e-6
2	9	preterm_no_hit_endocleaved	1	0	94	990709	9.5e-5
2	91	preterm_5_hit_endocleaved	4	3	257	997197	2.58e-4
2	91	preterm_no_hit_endocleaved	3	3	518	997197	5.19e-4
2	92	preterm_5_hit_endocleaved	4	4	441	996908	4.42e-4
2	92	preterm_no_hit_endocleaved	2	3	895	999976	8.95e-4
2	93	preterm_5_hit_endocleaved	3	2	700	997348	7.02e-4
2	93	preterm_no_hit_endocleaved	2	2	1707	997348	0.001712
2	94	preterm_5_hit_endocleaved	1	1	158	999509	1.58e-4
2	94	preterm_no_hit_endocleaved	1	1	1022	999509	0.001023
2	95	preterm_5_hit_endocleaved	3	2	631	999719	6.31e-4
